number, neighborhood_size
2147483646, 5
4067213884, 5
560029803, 5
3873122852, 5
3666074716, 5
110, 3
30, 3
75, 3
193, 3
182, 3
90, 3
184, 3
226, 3
73, 3
86, 3
89, 3
105, 3
135, 3
137, 3
149, 3
150, 3
